fecha;rk;tipo;localizacion;latitud;longitud;profundidad;especie;sexo;estado_caparazon;cirripedio;largo_caparazon;ancho_caparazon;largo_quela;ancho_quela;huevos;parasito
jul_97;195;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;63.4;;;;3;
jul_97;196;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;81.1;;;;1;
jul_97;197;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;66.1;;;;1;
jul_97;198;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;69.6;;;;1;
jul_97;199;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;69.4;;;;1;
jul_97;200;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;78.9;;;;;
jul_97;201;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;82.7;;;;;
jul_97;202;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;4;2;89.5;;;;;
jul_97;203;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;4;2;88.5;;;;;
jul_97;204;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;82.2;;;;;
jul_97;205;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;86.1;;;;;
jul_97;206;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;85.1;;;;;
jul_97;207;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;82;;;;;
jul_97;208;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;75.4;;;;;
jul_97;209;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;4;2;96;;;;;
jul_97;210;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;4;;83.9;;;;;
jul_97;211;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;2;4;2;77.5;;;;0;
jul_97;212;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;4;2;88.3;;;;;
jul_97;213;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;92.4;;;;;
jul_97;214;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;82.8;;;;;
jul_97;215;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;2;4;2;77.1;;;;3;
jul_97;216;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;2;3;;72.4;;;;1;
jul_97;217;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;75.2;;;;;
jul_97;218;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;87.7;;;;;
jul_97;219;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;2;3;;62.6;;;;1;
jul_97;220;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;79.1;;;;;
jul_97;221;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;77.2;;;;;
jul_97;222;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;82.9;;;;;
jul_97;223;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;89.1;;;;;20
jul_97;224;Captura total 8 trampas;wp 151;-54.8564333;-68.03508333;23;2;1;3;;95.1;;;;;
